frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,135.0,1,0,100.0,100.0,1,0,0,0,0.5174825174825175,2705.4475524475524,0,245.97603440224256,86.00560643435055,40.023965597757424,0,8159,8879
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,135.0,1,0,100.0,100.0,1,0,0,0,4.160839160839161,2705.4475524475524,0,245.97603440224256,86.00560643435055,40.023965597757424,0,399,9355
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,135.0,1,0,99.92849392361111,99.9424,0,0,1,0,8.006993006993007,2722.5384615384614,0,245.8189880986097,85.95069513937403,40.18101190139028,1307,336,13879
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,135.0,1,0,99.92849392361111,99.9424,0,0,1,0,7.895104895104895,2722.5314685314684,0,245.8191943803069,85.95076726584158,40.180805619693096,1307,2614,9855
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,145.0,1,0,100.0,99.99313103258787,1,0,0,0,2.4965034965034967,2705.4475524475524,0,255.96549880881352,89.4984261569278,30.03450119118648,83,8948,12221
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,145.0,1,0,100.0,99.99668965425921,1,0,0,0,4.118881118881119,2705.4475524475524,0,255.97119580016724,89.50041811194659,30.028804199832756,40,399,10370
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,145.0,1,0,99.92697482638889,99.93735170685564,0,0,1,0,7.86013986013986,2722.4545454545455,0,255.80439577683856,89.44209642546804,30.19560422316143,1430,336,14928
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,145.0,1,0,99.92957899305556,99.93536549941118,0,0,1,0,7.8671328671328675,2722.4545454545455,0,255.80439577683856,89.44209642546804,30.19560422316143,1430,2704,10493
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,155.0,0,3565,99.97135416666667,100.0,0,1,0,0,-703.6573426573426,2706.9300699300697,0,265.9438308556448,92.98735344602966,20.056169144355163,264,10007,22067
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,155.0,1,0,100.0,99.9868387028845,1,0,0,0,2.335664335664336,2705.4475524475524,0,265.9549992489525,92.99125847865473,20.045000751047482,170,399,17074
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,155.0,0,956,99.93023003472223,99.93109673863057,0,0,0,956,-83.52447552447552,2722.4545454545455,0,265.79132804859063,92.9340307862205,20.208671951409347,1533,312,106200
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,155.0,1,0,99.93023003472223,99.93109673863057,0,0,1,0,6.13986013986014,2722.4545454545455,0,265.79132804859063,92.9340307862205,20.208671951409347,1533,2744,17537
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,165.0,0,3584,99.96267361111111,99.99941818181819,0,1,0,0,-1954.4895104895104,2708.055944055944,0,275.9337985921397,96.48034915809079,10.066201407860337,352,11054,30373
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,165.0,1,0,100.0,99.9778909090909,1,0,0,0,2.3986013986013988,2705.4475524475524,0,275.9388639215823,96.4821202523015,10.061136078417716,304,399,18097
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,165.0,0,946,99.91807725694444,99.9424,0,0,0,946,-62.65034965034965,2723.2237762237764,0,275.7898199919609,96.4300069901961,10.210180008039146,1547,302,112886
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,165.0,1,0,99.91807725694444,99.9424,0,0,1,0,6.216783216783217,2723.2167832167834,0,275.79016713974323,96.4301283705396,10.209832860256741,1547,3370,17971
