frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,60.0,1,0,100.0,100.0,1,0,0,0,2.11,2693.14,0,170.97606839042734,85.48803419521367,29.023931609572642,0,4378,8392
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,60.0,1,0,100.0,100.0,1,0,0,0,2.92,2693.14,0,170.97606839042734,85.48803419521367,29.023931609572642,0,399,20384
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,60.0,1,0,99.87120225694444,99.9456,0,0,1,0,6.26,2722.46,0,170.8004759187626,85.4002379593813,29.19952408123739,1459,336,19836
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,60.0,1,0,99.87044270833333,99.9456,0,0,1,0,6.07,2722.46,0,170.80014832005932,85.40007416002966,29.19985167994067,1466,2160,22410
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,70.0,0,3569,100.0,100.0,0,1,0,0,-625.63,2695.62,0,180.97603239041297,90.48801619520648,19.023967609587043,0,5400,9021
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,70.0,0,3260,100.0,100.0,0,1,0,0,-327.24,2693.2,0,180.97603239041297,90.48801619520648,19.023967609587043,0,399,82426
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,70.0,0,2123,99.87033420138889,99.94154282373876,0,0,0,2123,-137.47,2722.53,0,180.79116994295813,90.39558497147907,19.20883005704185,1536,320,140787
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,70.0,0,2370,99.86946614583333,99.94154282373876,0,0,0,2370,-117.97,2722.51,0,180.79064384187123,90.39532192093561,19.209356158128767,1544,2452,71478
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,80.0,0,3580,100.0,100.0,0,1,0,0,-1871.82,2697.12,0,190.97599639039856,95.48799819519928,9.024003609601444,0,6526,10093
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,80.0,0,3489,100.0,100.0,0,1,0,0,-1464.62,2693.14,0,190.97599639039856,95.48799819519928,9.024003609601444,0,399,101263
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,80.0,0,2281,99.87065972222223,99.95289995289995,0,0,0,2281,-192.09,2722.47,0,190.79527631811052,95.39763815905526,9.204723681889472,1506,324,144355
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,80.0,0,1667,99.87044270833333,99.95289995289995,0,0,0,1667,-58.99,2722.46,0,190.79503631801452,95.39751815900726,9.204963681985474,1508,2432,71849
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,90.0,0,3597,95.95746527777777,100.0,0,1,0,0,-3241.01,3267.7,0,196.50500489299316,98.25250244649658,3.4949951070068503,37256,7607,11343
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,90.0,0,3549,99.9619140625,97.94666666666667,0,1,0,0,-1313.45,2710.47,0,199.08595963438384,99.54297981719192,0.9140403656161462,15751,399,100674
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,90.0,0,2315,99.85069444444444,97.97013333333334,0,0,0,2315,-159.62,2722.5,0,198.98407959363183,99.49203979681592,1.0159204063681626,16600,324,153916
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,90.0,0,2576,99.86946614583333,97.6768,0,0,0,2576,-152.82,2722.5,0,198.74024327536748,99.37012163768374,1.2597567246325159,18627,2460,77240
