frequency_mhz,mapping,format,active_fraction,video_fifo_words,low_watermark_words,high_watermark_words,deadline_guard_cycles,background_offered_mb_s,all_modes_directions_safe,minimum_video_slack_us,maximum_video_wait_us,minimum_background_service_pct,maximum_dq_turnarounds
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,147.0,1,2.202797202797203,2722.4545454545455,99.93404081632653,9000
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,149.0,0,-21.81118881118881,2722.4545454545455,99.93283217870184,9297
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,151.0,0,-243.21678321678323,2722.4545454545455,99.93157614081487,9437
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,153.0,0,-467.04895104895104,2722.4545454545455,99.93035294117647,9717
