frequency_mhz,mapping,format,active_fraction,video_fifo_words,low_watermark_words,high_watermark_words,deadline_guard_cycles,background_offered_mb_s,all_modes_directions_safe,minimum_video_slack_us,maximum_video_wait_us,minimum_background_service_pct,maximum_dq_turnarounds
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,60.0,1,2.11,2722.46,99.9456,4378
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,70.0,0,-625.63,2722.53,99.94154282373876,5400
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,80.0,0,-1871.82,2722.47,99.95289995289995,6526
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,90.0,0,-3241.01,3267.7,97.6768,7607
