frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,30.72,19.56,0,110.976,55.488,89.024,0,23,230
100.0,board-acceptance,chip-row-bank-column,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.53703703703704,100,0,0,1,0,22.69,9.69,0,110.464,55.232,89.536,256,2,184
100.0,board-acceptance,linear,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.53703703703704,100,0,0,1,0,34.24,0.11,0,110.464,55.232,89.536,256,2,185
100.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.53703703703704,100,0,0,1,0,34.24,0.2,0,110.464,55.232,89.536,256,2,184
100.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.53703703703704,100,0,0,1,0,34.24,0.2,0,110.464,55.232,89.536,256,2,191
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.53703703703704,100,0,0,1,0,31.95,0.2,0,110.464,55.232,89.536,256,2,219
100.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.53703703703704,100,0,0,1,0,31.95,0.2,0,110.464,55.232,89.536,256,2,220
120.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,355,94.90097736625515,100,0,1,0,0,-36.608333333333334,67.29166666666667,0,236.52011599613346,98.55004833172228,3.479884003866538,6344,24,481
120.0,board-acceptance,linear,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,362,94.40023791152264,100,0,1,0,0,-41.43333333333333,72.21666666666667,0,235.282,98.03416666666666,4.718,6967,24,266
120.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,309,96.23922968106996,100,0,1,0,0,-23.15,53.94166666666667,0,239.858,99.94083333333333,0.142,4679,24,491
120.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,capture,write,2048,17.066666666666666,0.0,0,341,16.666666666666668,100,0,1,0,0,-31.908333333333335,62.56666666666667,0,237.5881205939703,98.99505024748763,2.4118794060296986,5808,24,567
