frequency_mhz,mapping,format,active_fraction,video_fifo_words,low_watermark_words,high_watermark_words,deadline_guard_cycles,background_offered_mb_s,all_modes_directions_safe,minimum_video_slack_us,maximum_video_wait_us,minimum_background_service_pct,maximum_dq_turnarounds
130,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,100.0,1,3.376923076923077,2722.4538461538464,99.93795997518399,5866
130,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,110.0,1,3.3076923076923075,2722.5,99.94305450403964,6726
130,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,120.0,1,1.5923076923076922,2722.4538461538464,99.944,7798
130,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,130.0,0,-788.7923076923076,2722.4538461538464,99.93898459661065,8845
130,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,140.0,0,-2204.3076923076924,2722.476923076923,99.9353713916408,10143
