frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
100,board-acceptance,stripe-1k-chip-bank,512,1000.0,3323,0,-7.25,97.45,194.9,244.66,244.66,1.11,13334,211,1158,14.746
100,board-acceptance,stripe-1k-chip-bank,1024,1000.0,3956,0,-7.15,75.305,150.61,644.25,644.25,1.11,35479,107,1136,11.934
120,board-acceptance,chip-row-bank-column,8,1000.0,0,0,35.891666666666666,87.15083333333334,209.162,149.11666666666667,149.11666666666667,0.925,6203,12253,748,12.35
120,board-acceptance,chip-row-bank-column,16,1000.0,0,0,35.891666666666666,91.43916666666667,219.454,56.03333333333333,56.03333333333333,0.925,1057,6889,696,12.800833333333333
120,board-acceptance,chip-row-bank-column,32,1000.0,0,0,35.891666666666666,92.29333333333334,221.504,35.766666666666666,35.766666666666666,0.925,32,3334,441,12.484166666666667
120,board-acceptance,chip-row-bank-column,64,1000.0,0,0,35.666666666666664,92.26666666666667,221.44,34.708333333333336,34.708333333333336,0.925,64,1672,419,12.444166666666666
120,board-acceptance,chip-row-bank-column,128,1000.0,0,0,34.425,92.21333333333334,221.312,33.6,33.6,0.925,128,840,398,12.4025
120,board-acceptance,chip-row-bank-column,256,1000.0,0,0,29.341666666666665,92.10666666666667,221.056,32.30833333333333,32.30833333333333,0.925,256,420,390,12.376666666666667
120,board-acceptance,chip-row-bank-column,512,1000.0,0,0,17.95,91.89333333333333,220.544,30.208333333333332,30.208333333333332,0.925,512,212,373,12.321666666666667
120,board-acceptance,chip-row-bank-column,1024,1000.0,0,0,18.25,91.46666666666667,219.52,26.416666666666668,26.416666666666668,0.925,1024,120,318,12.176666666666666
120,board-acceptance,linear,8,1000.0,0,0,36.625,87.31083333333333,209.546,145.64166666666668,145.64166666666668,2.025,6011,12291,369,11.740833333333333
120,board-acceptance,linear,16,1000.0,0,0,36.53333333333333,91.4925,219.582,54.858333333333334,54.858333333333334,1.675,993,6899,372,12.268333333333333
120,board-acceptance,linear,32,1000.0,0,0,36.225,92.29333333333334,221.504,35.925,35.925,1.4916666666666667,32,3328,368,12.3625
120,board-acceptance,linear,64,1000.0,0,0,35.6,92.26666666666667,221.44,34.733333333333334,34.733333333333334,0.925,64,1664,368,12.359166666666667
120,board-acceptance,linear,128,1000.0,0,0,34.50833333333333,92.21333333333334,221.312,33.71666666666667,33.71666666666667,0.925,128,832,359,12.3375
120,board-acceptance,linear,256,1000.0,0,0,32.18333333333333,92.10666666666667,221.056,32.43333333333333,32.43333333333333,0.925,256,416,356,12.32
120,board-acceptance,linear,512,1000.0,0,0,27.566666666666666,91.89333333333333,220.544,30.491666666666667,30.491666666666667,0.925,512,208,338,12.263333333333334
120,board-acceptance,linear,1024,1000.0,0,0,18.275,91.46666666666667,219.52,26.691666666666666,26.691666666666666,0.925,1024,116,302,12.15
120,board-acceptance,row-bank-chip-column,8,1000.0,0,0,27.175,92.31333333333333,221.552,34.0,34.0,0.925,8,6488,497,12.58
120,board-acceptance,row-bank-chip-column,16,1000.0,0,0,27.175,92.30666666666667,221.536,33.90833333333333,33.90833333333333,0.925,16,5326,499,12.5825
120,board-acceptance,row-bank-chip-column,32,1000.0,0,0,27.175,92.29333333333334,221.504,33.75833333333333,33.75833333333333,0.925,32,3044,412,12.435833333333333
120,board-acceptance,row-bank-chip-column,64,1000.0,0,0,27.175,92.26666666666667,221.44,33.56666666666667,33.56666666666667,0.925,64,1558,404,12.419166666666667
120,board-acceptance,row-bank-chip-column,128,1000.0,0,0,27.175,92.21333333333334,221.312,33.00833333333333,33.00833333333333,0.925,128,798,389,12.3875
120,board-acceptance,row-bank-chip-column,256,1000.0,0,0,27.175,92.10666666666667,221.056,31.85,31.85,0.925,256,412,385,12.368333333333334
120,board-acceptance,row-bank-chip-column,512,1000.0,0,0,27.175,91.89333333333333,220.544,29.95,29.95,0.925,512,212,364,12.306666666666667
120,board-acceptance,row-bank-chip-column,1024,1000.0,0,0,18.25,91.46666666666667,219.52,26.241666666666667,26.241666666666667,0.925,1024,118,316,12.173333333333334
120,board-acceptance,row-chip-bank-column,8,1000.0,0,0,27.183333333333334,92.31333333333333,221.552,34.425,34.425,0.925,8,6266,495,12.576666666666666
120,board-acceptance,row-chip-bank-column,16,1000.0,0,0,27.183333333333334,92.30666666666667,221.536,34.175,34.175,0.925,16,5202,497,12.579166666666667
120,board-acceptance,row-chip-bank-column,32,1000.0,0,0,27.183333333333334,92.29333333333334,221.504,34.00833333333333,34.00833333333333,0.925,32,3038,412,12.435833333333333
120,board-acceptance,row-chip-bank-column,64,1000.0,0,0,27.183333333333334,92.26666666666667,221.44,33.74166666666667,33.74166666666667,0.925,64,1554,404,12.419166666666667
120,board-acceptance,row-chip-bank-column,128,1000.0,0,0,27.183333333333334,92.21333333333334,221.312,33.30833333333333,33.30833333333333,0.925,128,796,390,12.389166666666666
120,board-acceptance,row-chip-bank-column,256,1000.0,0,0,27.183333333333334,92.10666666666667,221.056,32.13333333333333,32.13333333333333,0.925,256,412,385,12.368333333333334
120,board-acceptance,row-chip-bank-column,512,1000.0,0,0,27.183333333333334,91.89333333333333,220.544,30.225,30.225,0.925,512,212,365,12.308333333333334
120,board-acceptance,row-chip-bank-column,1024,1000.0,0,0,18.25,91.46666666666667,219.52,26.416666666666668,26.416666666666668,0.925,1024,118,318,12.176666666666666
120,board-acceptance,stripe-1k-bank-chip,8,1000.0,0,0,31.558333333333334,92.31333333333333,221.552,34.56666666666667,34.56666666666667,0.925,8,6574,853,13.173333333333334
120,board-acceptance,stripe-1k-bank-chip,16,1000.0,0,0,31.558333333333334,92.30666666666667,221.536,34.6,34.6,0.925,16,5622,854,13.174166666666666
120,board-acceptance,stripe-1k-bank-chip,32,1000.0,0,0,31.558333333333334,92.29333333333334,221.504,34.30833333333333,34.30833333333333,0.925,32,3174,591,12.734166666666667
120,board-acceptance,stripe-1k-bank-chip,64,1000.0,0,0,31.558333333333334,92.26666666666667,221.44,33.99166666666667,33.99166666666667,0.925,64,1614,555,12.670833333333333
120,board-acceptance,stripe-1k-bank-chip,128,1000.0,0,0,31.558333333333334,92.21333333333334,221.312,33.391666666666666,33.391666666666666,0.925,128,824,532,12.625833333333333
120,board-acceptance,stripe-1k-bank-chip,256,1000.0,0,0,31.558333333333334,92.10666666666667,221.056,32.141666666666666,32.141666666666666,0.925,256,420,510,12.576666666666666
120,board-acceptance,stripe-1k-bank-chip,512,1000.0,0,0,27.491666666666667,91.89333333333333,220.544,30.091666666666665,30.091666666666665,0.925,512,212,459,12.465
120,board-acceptance,stripe-1k-bank-chip,1024,1000.0,0,0,18.183333333333334,91.46666666666667,219.52,26.241666666666667,26.241666666666667,0.925,1024,116,489,12.461666666666666
120,board-acceptance,stripe-1k-chip-bank,8,1000.0,0,0,31.558333333333334,92.31333333333333,221.552,34.55833333333333,34.55833333333333,0.925,8,6584,854,13.175
120,board-acceptance,stripe-1k-chip-bank,16,1000.0,0,0,31.558333333333334,92.30666666666667,221.536,34.608333333333334,34.608333333333334,0.925,16,5676,855,13.175833333333333
120,board-acceptance,stripe-1k-chip-bank,32,1000.0,0,0,31.558333333333334,92.29333333333334,221.504,34.208333333333336,34.208333333333336,0.925,32,3178,591,12.734166666666667
120,board-acceptance,stripe-1k-chip-bank,64,1000.0,0,0,31.558333333333334,92.26666666666667,221.44,34.06666666666667,34.06666666666667,0.925,64,1612,555,12.670833333333333
120,board-acceptance,stripe-1k-chip-bank,128,1000.0,0,0,31.558333333333334,92.21333333333334,221.312,33.40833333333333,33.40833333333333,0.925,128,824,535,12.630833333333333
120,board-acceptance,stripe-1k-chip-bank,256,1000.0,0,0,31.558333333333334,92.10666666666667,221.056,32.208333333333336,32.208333333333336,0.925,256,420,511,12.578333333333333
120,board-acceptance,stripe-1k-chip-bank,512,1000.0,0,0,27.508333333333333,91.89333333333333,220.544,30.091666666666665,30.091666666666665,0.925,512,212,460,12.466666666666667
120,board-acceptance,stripe-1k-chip-bank,1024,1000.0,0,0,18.2,91.46666666666667,219.52,26.258333333333333,26.258333333333333,0.925,1024,116,489,12.461666666666666
130,board-acceptance,chip-row-bank-column,8,1000.0,0,0,35.97692307692308,84.63923076923076,220.062,50.63846153846154,50.63846153846154,0.8538461538461538,753,13539,676,11.815384615384616
130,board-acceptance,chip-row-bank-column,16,1000.0,0,0,35.97692307692308,85.20615384615385,221.536,32.56153846153846,32.56153846153846,0.8538461538461538,16,6592,401,11.463846153846154
130,board-acceptance,chip-row-bank-column,32,1000.0,0,0,35.97692307692308,85.19384615384615,221.504,30.515384615384615,30.515384615384615,0.8538461538461538,32,3334,390,11.445384615384615
130,board-acceptance,chip-row-bank-column,64,1000.0,0,0,35.676923076923075,85.16923076923077,221.44,29.7,29.7,0.8538461538461538,64,1672,386,11.436153846153847
130,board-acceptance,chip-row-bank-column,128,1000.0,0,0,34.44615384615385,85.12,221.312,28.96153846153846,28.96153846153846,0.8538461538461538,128,840,373,11.41
130,board-acceptance,chip-row-bank-column,256,1000.0,0,0,29.846153846153847,85.02153846153846,221.056,27.630769230769232,27.630769230769232,0.8538461538461538,256,420,364,11.384615384615385
130,board-acceptance,chip-row-bank-column,512,1000.0,0,0,18.615384615384617,84.82461538461538,220.544,24.976923076923075,24.976923076923075,0.8538461538461538,512,212,347,11.333846153846153
130,board-acceptance,chip-row-bank-column,1024,1000.0,0,0,18.26923076923077,84.43076923076923,219.52,22.53076923076923,22.53076923076923,0.8538461538461538,1024,120,308,11.224615384615385
130,board-acceptance,linear,8,1000.0,0,0,36.66153846153846,84.74384615384615,220.334,48.176923076923075,48.176923076923075,1.823076923076923,617,13567,374,11.363846153846154
130,board-acceptance,linear,16,1000.0,0,0,36.50769230769231,85.20615384615385,221.536,32.84615384615385,32.84615384615385,1.4076923076923078,16,6602,367,11.411538461538461
130,board-acceptance,linear,32,1000.0,0,0,36.238461538461536,85.19384615384615,221.504,30.56923076923077,30.56923076923077,1.123076923076923,32,3328,368,11.411538461538461
130,board-acceptance,linear,64,1000.0,0,0,35.684615384615384,85.16923076923077,221.44,29.8,29.8,0.8538461538461538,64,1664,368,11.40846153846154
130,board-acceptance,linear,128,1000.0,0,0,34.52307692307692,85.12,221.312,29.06923076923077,29.06923076923077,0.8538461538461538,128,832,358,11.386923076923077
130,board-acceptance,linear,256,1000.0,0,0,32.207692307692305,85.02153846153846,221.056,27.907692307692308,27.907692307692308,0.8538461538461538,256,416,352,11.366153846153846
130,board-acceptance,linear,512,1000.0,0,0,27.576923076923077,84.82461538461538,220.544,25.123076923076923,25.123076923076923,0.8538461538461538,512,208,332,11.31076923076923
130,board-acceptance,linear,1024,1000.0,0,0,18.346153846153847,84.43076923076923,219.52,22.70769230769231,22.70769230769231,0.8538461538461538,1024,116,299,11.21076923076923
130,board-acceptance,row-bank-chip-column,8,1000.0,0,0,27.93076923076923,85.21230769230769,221.552,30.20769230769231,30.20769230769231,0.8538461538461538,8,12110,497,11.612307692307692
130,board-acceptance,row-bank-chip-column,16,1000.0,0,0,27.93076923076923,85.20615384615385,221.536,29.523076923076925,29.523076923076925,0.8538461538461538,16,6302,386,11.44076923076923
130,board-acceptance,row-bank-chip-column,32,1000.0,0,0,27.93076923076923,85.19384615384615,221.504,29.246153846153845,29.246153846153845,0.8538461538461538,32,3222,385,11.437692307692307
130,board-acceptance,row-bank-chip-column,64,1000.0,0,0,27.93076923076923,85.16923076923077,221.44,29.023076923076925,29.023076923076925,0.8538461538461538,64,1622,382,11.43
130,board-acceptance,row-bank-chip-column,128,1000.0,0,0,27.93076923076923,85.12,221.312,28.515384615384615,28.515384615384615,0.8538461538461538,128,818,371,11.406923076923077
130,board-acceptance,row-bank-chip-column,256,1000.0,0,0,27.93076923076923,85.02153846153846,221.056,27.515384615384615,27.515384615384615,0.8538461538461538,256,418,364,11.384615384615385
130,board-acceptance,row-bank-chip-column,512,1000.0,0,0,27.50769230769231,84.82461538461538,220.544,24.861538461538462,24.861538461538462,0.8538461538461538,512,212,345,11.330769230769231
130,board-acceptance,row-bank-chip-column,1024,1000.0,0,0,18.26923076923077,84.43076923076923,219.52,22.423076923076923,22.423076923076923,0.8538461538461538,1024,118,308,11.224615384615385
130,board-acceptance,row-chip-bank-column,8,1000.0,0,0,27.93076923076923,85.21230769230769,221.552,30.33076923076923,30.33076923076923,0.8538461538461538,8,11900,498,11.613846153846154
130,board-acceptance,row-chip-bank-column,16,1000.0,0,0,27.93076923076923,85.20615384615385,221.536,29.676923076923078,29.676923076923078,0.8538461538461538,16,6308,386,11.44076923076923
130,board-acceptance,row-chip-bank-column,32,1000.0,0,0,27.93076923076923,85.19384615384615,221.504,29.5,29.5,0.8538461538461538,32,3218,385,11.437692307692307
130,board-acceptance,row-chip-bank-column,64,1000.0,0,0,27.93076923076923,85.16923076923077,221.44,29.2,29.2,0.8538461538461538,64,1624,382,11.43
130,board-acceptance,row-chip-bank-column,128,1000.0,0,0,27.93076923076923,85.12,221.312,28.76153846153846,28.76153846153846,0.8538461538461538,128,818,371,11.406923076923077
130,board-acceptance,row-chip-bank-column,256,1000.0,0,0,27.93076923076923,85.02153846153846,221.056,27.607692307692307,27.607692307692307,0.8538461538461538,256,418,364,11.384615384615385
130,board-acceptance,row-chip-bank-column,512,1000.0,0,0,27.50769230769231,84.82461538461538,220.544,24.853846153846153,24.853846153846153,0.8538461538461538,512,212,344,11.329230769230769
130,board-acceptance,row-chip-bank-column,1024,1000.0,0,0,18.26923076923077,84.43076923076923,219.52,22.43076923076923,22.43076923076923,0.8538461538461538,1024,118,308,11.224615384615385
130,board-acceptance,stripe-1k-bank-chip,8,1000.0,0,0,31.976923076923075,85.21230769230769,221.552,31.2,31.2,0.8538461538461538,8,12574,855,12.163076923076924
130,board-acceptance,stripe-1k-bank-chip,16,1000.0,0,0,31.976923076923075,85.20615384615385,221.536,30.284615384615385,30.284615384615385,0.8538461538461538,16,6406,513,11.636153846153846
130,board-acceptance,stripe-1k-bank-chip,32,1000.0,0,0,31.976923076923075,85.19384615384615,221.504,29.76923076923077,29.76923076923077,0.8538461538461538,32,3274,511,11.631538461538462
130,board-acceptance,stripe-1k-bank-chip,64,1000.0,0,0,31.976923076923075,85.16923076923077,221.44,29.5,29.5,0.8538461538461538,64,1648,500,11.611538461538462
130,board-acceptance,stripe-1k-bank-chip,128,1000.0,0,0,31.976923076923075,85.12,221.312,28.93846153846154,28.93846153846154,0.8538461538461538,128,830,488,11.586923076923076
130,board-acceptance,stripe-1k-bank-chip,256,1000.0,0,0,31.976923076923075,85.02153846153846,221.056,27.623076923076923,27.623076923076923,0.8538461538461538,256,420,467,11.543076923076923
130,board-acceptance,stripe-1k-bank-chip,512,1000.0,0,0,27.49230769230769,84.82461538461538,220.544,24.815384615384616,24.815384615384616,0.8538461538461538,512,212,426,11.455384615384615
130,board-acceptance,stripe-1k-bank-chip,1024,1000.0,0,0,18.192307692307693,84.43076923076923,219.52,22.423076923076923,22.423076923076923,0.8538461538461538,1024,116,463,11.463076923076922
130,board-acceptance,stripe-1k-chip-bank,8,1000.0,0,0,31.976923076923075,85.21230769230769,221.552,31.346153846153847,31.346153846153847,0.8538461538461538,8,12544,854,12.161538461538461
130,board-acceptance,stripe-1k-chip-bank,16,1000.0,0,0,31.976923076923075,85.20615384615385,221.536,30.392307692307693,30.392307692307693,0.8538461538461538,16,6440,513,11.636153846153846
130,board-acceptance,stripe-1k-chip-bank,32,1000.0,0,0,31.976923076923075,85.19384615384615,221.504,29.692307692307693,29.692307692307693,0.8538461538461538,32,3274,511,11.631538461538462
130,board-acceptance,stripe-1k-chip-bank,64,1000.0,0,0,31.976923076923075,85.16923076923077,221.44,29.5,29.5,0.8538461538461538,64,1648,500,11.611538461538462
130,board-acceptance,stripe-1k-chip-bank,128,1000.0,0,0,31.976923076923075,85.12,221.312,28.93846153846154,28.93846153846154,0.8538461538461538,128,830,488,11.586923076923076
130,board-acceptance,stripe-1k-chip-bank,256,1000.0,0,0,31.976923076923075,85.02153846153846,221.056,27.615384615384617,27.615384615384617,0.8538461538461538,256,420,467,11.543076923076923
130,board-acceptance,stripe-1k-chip-bank,512,1000.0,0,0,27.49230769230769,84.82461538461538,220.544,24.83076923076923,24.83076923076923,0.8538461538461538,512,212,427,11.456923076923077
130,board-acceptance,stripe-1k-chip-bank,1024,1000.0,0,0,18.223076923076924,84.43076923076923,219.52,22.53076923076923,22.53076923076923,0.8538461538461538,1024,116,464,11.464615384615385
143,exploratory-overclock,chip-row-bank-column,8,1000.0,0,0,36.02097902097902,77.46573426573427,221.552,29.48951048951049,29.48951048951049,0.7832167832167832,8,12878,383,10.397202797202798
143,exploratory-overclock,chip-row-bank-column,16,1000.0,0,0,36.02097902097902,77.46013986013986,221.536,27.062937062937063,27.062937062937063,0.7832167832167832,16,6616,379,10.39090909090909
143,exploratory-overclock,chip-row-bank-column,32,1000.0,0,0,36.02097902097902,77.44895104895105,221.504,26.293706293706293,26.293706293706293,0.7832167832167832,32,3334,377,10.386713286713286
143,exploratory-overclock,chip-row-bank-column,64,1000.0,0,0,35.69230769230769,77.42657342657343,221.44,25.174825174825173,25.174825174825173,0.7832167832167832,64,1672,369,10.372727272727273
143,exploratory-overclock,chip-row-bank-column,128,1000.0,0,0,34.53846153846154,77.38181818181818,221.312,24.482517482517483,24.482517482517483,0.7832167832167832,128,840,363,10.358741258741258
143,exploratory-overclock,chip-row-bank-column,256,1000.0,0,0,29.32867132867133,77.29230769230769,221.056,23.53146853146853,23.53146853146853,0.7832167832167832,256,420,351,10.33146853146853
143,exploratory-overclock,chip-row-bank-column,512,1000.0,0,0,18.27972027972028,77.11328671328671,220.544,22.53846153846154,22.53846153846154,0.7832167832167832,512,212,334,10.285314685314685
143,exploratory-overclock,chip-row-bank-column,1024,1000.0,0,0,18.27972027972028,76.75524475524476,219.52,17.503496503496503,17.503496503496503,0.7832167832167832,1024,120,287,10.174825174825175
143,exploratory-overclock,linear,8,1000.0,0,0,36.66433566433567,77.46573426573427,221.552,29.755244755244757,29.755244755244757,1.4195804195804196,8,12872,366,10.373426573426574
143,exploratory-overclock,linear,16,1000.0,0,0,36.52447552447553,77.46013986013986,221.536,27.34965034965035,27.34965034965035,1.2937062937062938,16,6614,366,10.372727272727273
143,exploratory-overclock,linear,32,1000.0,0,0,36.24475524475525,77.44895104895105,221.504,26.412587412587413,26.412587412587413,1.020979020979021,32,3328,366,10.371328671328671
143,exploratory-overclock,linear,64,1000.0,0,0,35.69230769230769,77.42657342657343,221.44,25.503496503496503,25.503496503496503,0.7832167832167832,64,1664,359,10.358741258741258
