frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,148.0,0,1,99.99565972222223,100.0,0,1,0,0,2.300699300699301,2705.804195804196,0,258.97097890141333,90.5492933221725,27.029021098586643,40,9237,14864
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,148.0,1,0,100.0,99.99894594566106,1,0,0,0,5.048951048951049,2705.7972027972028,0,258.97389291825164,90.5503122091789,27.02610708174837,13,399,10648
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,148.0,1,0,99.92936197916667,99.93732430738494,0,0,1,0,8.118881118881118,2722.4895104895104,0,258.8044646607134,90.49107155969,27.195535339286607,1424,336,14933
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,28.643356643356643,148.0,1,0,99.92936197916667,99.93732430738494,0,0,1,0,9.020979020979022,2722.4755244755243,0,258.8050076069909,90.49126140104576,27.19499239300912,1424,2602,10066
