frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,28.88,21.37,0,110.97604439041775,55.48802219520888,89.02395560958225,0,399,3204
100.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,28.92,23.63,0,110.97604439041775,55.48802219520888,89.02395560958225,0,399,3237
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,28.88,21.32,0,110.97604439041775,55.48802219520888,89.02395560958225,0,399,3847
100.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,capture,write,2048,20.48,0.0,1,0,100.0,100,1,0,0,0,28.88,21.24,0,110.97604439041775,55.48802219520888,89.02395560958225,0,399,3851
100.0,board-acceptance,chip-row-bank-column,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.97222222222223,100,0,0,1,0,33.98,0.35,0,110.94532437812975,55.47266218906488,89.05467562187025,256,336,3218
100.0,board-acceptance,linear,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.97222222222223,100,0,0,1,0,34.24,0.19,0,110.94532437812975,55.47266218906488,89.05467562187025,256,336,3217
100.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.97222222222223,100,0,0,1,0,33.98,0.35,0,110.94532437812975,55.47266218906488,89.05467562187025,256,336,3222
100.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.97222222222223,100,0,0,1,0,33.98,0.35,0,110.94532437812975,55.47266218906488,89.05467562187025,256,336,3222
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.97222222222223,100,0,0,1,0,33.99,0.35,0,110.94532437812975,55.47266218906488,89.05467562187025,256,336,3883
100.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,replay,write,2048,20.48,0.0,1,0,99.97222222222223,100,0,0,1,0,33.99,0.35,0,110.94532437812975,55.47266218906488,89.05467562187025,256,336,3881
