frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,read,2048,15.753846153846155,120.0,1,0,100.0,100.0,1,0,0,0,20.73076923076923,33.62307692307692,0,244.8000753231001,94.15387512426926,15.1999246768999,0,9056,8247
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,read,2048,15.753846153846155,125.0,1,0,100.0,100.0,1,0,0,0,20.73076923076923,35.59230769230769,0,249.7999968615375,96.07692186982212,10.200003138462504,0,9466,8389
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,read,2048,15.753846153846155,130.0,1,0,100.0,100.0,1,0,0,0,20.73076923076923,35.59230769230769,0,254.80003840001183,98.0000147692353,5.1999615999881845,0,9912,8804
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,read,2048,15.753846153846155,135.0,0,2722,99.60503472222223,99.39626666666666,0,1,0,0,-42.36153846153846,104.0923076923077,0,258.4936395365045,99.42063059096326,1.5063604634955272,10887,6455,15451
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,120.0,1,0,100.0,100.0,1,0,0,0,18.8,34.57692307692308,0,244.8000753231001,94.15387512426926,15.1999246768999,0,399,8136
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,125.0,1,0,100.0,100.0,1,0,0,0,18.8,36.54615384615385,0,249.7999968615375,96.07692186982212,10.200003138462504,0,399,8257
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,130.0,1,0,100.0,100.0,1,0,0,0,16.66923076923077,36.54615384615385,0,254.80003840001183,98.0000147692353,5.1999615999881845,0,399,8589
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,capture,write,2048,15.753846153846155,135.0,0,0,100.0,99.26684444444444,1,0,0,0,0.9076923076923077,59.69230769230769,0,258.81008073225803,99.54233874317616,1.189919267741989,8248,399,17225
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,read,2048,15.753846153846155,120.0,1,0,99.9753086419753,100.0,0,0,1,0,28.661538461538463,2.1923076923076925,0,244.7693553136478,94.14205973601838,15.23064468635221,256,336,8092
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,read,2048,15.753846153846155,125.0,1,0,99.9753086419753,100.0,0,0,1,0,26.684615384615384,2.1846153846153844,0,249.7692768520852,96.06510648157122,10.230723147914814,256,336,8169
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,read,2048,15.753846153846155,130.0,1,0,99.9753086419753,100.0,0,0,1,0,24.407692307692308,5.084615384615384,0,254.7693183905595,97.98819938098443,5.230681609440495,256,336,8435
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,read,2048,15.753846153846155,135.0,1,0,99.85185185185185,99.67448888888889,0,0,1,0,4.338461538461538,26.284615384615385,0,259.1763197465599,99.68319990252304,0.823680253440078,5198,248,14262
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,120.0,1,0,99.9753086419753,100.0,0,0,1,0,28.70769230769231,2.1615384615384614,0,244.7693553136478,94.14205973601838,15.23064468635221,256,9291,8166
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,125.0,1,0,99.9753086419753,100.0,0,0,1,0,27.161538461538463,2.1538461538461537,0,249.7692768520852,96.06510648157122,10.230723147914814,256,9353,8226
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,130.0,1,0,99.9753086419753,100.0,0,0,1,0,24.715384615384615,4.361538461538461,0,254.7693183905595,97.98819938098443,5.230681609440495,256,9595,8447
130.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,write,2048,15.753846153846155,135.0,0,0,99.86275077160494,98.98808888888888,0,0,1,0,7.8538461538461535,23.076923076923077,0,258.2632394656121,99.3320151790816,1.7367605343878567,12807,8752,14696
