frequency_mhz,mapping,format,active_fraction,video_fifo_words,low_watermark_words,high_watermark_words,deadline_guard_cycles,background_offered_mb_s,all_modes_directions_safe,minimum_video_slack_us,maximum_video_wait_us,minimum_background_service_pct,maximum_dq_turnarounds
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,135.0,1,0.5174825174825175,2722.5384615384614,99.9424,8159
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,145.0,1,2.4965034965034967,2722.4545454545455,99.93536549941118,8948
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,155.0,0,-703.6573426573426,2722.4545454545455,99.93109673863057,10007
143.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,165.0,0,-1954.4895104895104,2723.2237762237764,99.9424,11054
