frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,20.48,75.0,1,0,100.0,100.0,1,0,0,0,23.62,39.59,0,185.97607439042974,92.98803719521487,14.023925609570243,0,6232,7175
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,20.48,85.0,1,0,100.0,100.0,1,0,0,0,23.62,42.67,0,195.97603839041537,97.98801919520768,4.023961609584644,0,7204,8010
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,20.48,90.0,0,2847,98.10959201388889,99.7376,0,1,0,0,-284.62,353.18,0,198.64927945971178,99.32463972985589,1.350720540288216,19390,4857,14453
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,20.48,75.0,1,0,100.0,100.0,1,0,0,0,15.58,38.34,0,185.97607439042974,92.98803719521487,14.023925609570243,0,399,7042
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,20.48,85.0,1,0,100.0,100.0,1,0,0,0,15.58,40.76,0,195.97603839041537,97.98801919520768,4.023961609584644,0,399,7687
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,20.48,90.0,0,1,99.97569444444444,97.85706666666667,0,1,0,0,0.31,63.8,0,199.02044019591196,99.51022009795598,0.9795598040880392,16296,399,16669
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,20.48,75.0,1,0,99.97222222222223,100.0,0,0,1,0,29.66,2.79,0,185.94535437814176,92.97267718907088,14.05464562185825,256,336,7058
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,20.48,85.0,1,0,99.97102864583333,100.0,0,0,1,0,28.12,3.78,0,195.94341054713257,97.97170527356629,4.0565894528674225,267,336,7483
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,20.48,90.0,0,0,99.86111111111111,98.40386666666667,0,0,1,0,7.72,26.73,0,199.38584012283198,99.69292006141599,0.6141598771680246,13251,214,13506
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,20.48,75.0,1,0,99.97222222222223,100.0,0,0,1,0,23.93,2.8,0,185.94535437814176,92.97267718907088,14.05464562185825,256,8691,7244
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,20.48,85.0,1,0,99.97016059027777,100.0,0,0,1,0,19.92,3.47,0,195.94245054962857,97.97122527481429,4.057549450371429,275,9012,7654
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,20.48,90.0,0,0,99.86469184027777,97.62453333333333,0,0,1,0,10.01,24.44,0,198.6885194754078,99.3442597377039,1.3114805245922099,19063,5862,13673
