frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,14.321678321678322,165.0,1,0,100.0,100.0,1,0,0,0,27.566433566433567,38.96503496503497,0,275.97603859804735,96.49511839092565,10.023961401952644,0,12302,9030
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,14.321678321678322,175.0,0,2551,99.65516493055556,99.4626055914527,0,1,0,0,-37.62937062937063,107.07692307692308,0,284.6541998117762,99.52944049362804,1.3458001882238027,11015,6985,15877
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,2048,14.321678321678322,180.0,0,2914,99.67805989583333,96.73386666666667,0,1,0,0,-38.55244755244755,108.0,0,284.7409598239105,99.55977616220646,1.2590401760895351,51959,6365,15886
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,14.321678321678322,165.0,1,0,100.0,100.0,1,0,0,0,18.02097902097902,39.95104895104895,0,275.97603859804735,96.49511839092565,10.023961401952644,0,399,8752
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,14.321678321678322,175.0,1,0,100.0,99.62100562765843,1,0,0,0,0.3776223776223776,68.98601398601399,0,285.3127599038825,99.75970626009878,0.6872400961174959,5527,399,17460
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,14.321678321678322,180.0,0,2,99.96614583333333,96.85833333333333,0,1,0,0,1.3636363636363635,69.0,0,285.2835998998042,99.74951045447699,0.7164001001958182,47437,399,18275
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,14.321678321678322,165.0,1,0,99.97222222222223,100.0,0,0,1,0,31.006993006993007,2.2517482517482517,0,275.94531859375087,96.48437713068212,10.054681406249149,256,336,8778
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,14.321678321678322,175.0,1,0,99.83767361111111,99.72790850923623,0,0,1,0,3.1468531468531467,32.07692307692308,0,285.3203199049398,99.76234961711184,0.6796800950601531,5464,240,15016
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,2048,14.321678321678322,180.0,0,0,99.8427734375,96.9584,0,0,1,0,3.1538461538461537,32.06993006993007,0,285.32727990591326,99.76478318388575,0.6727200940867264,47073,202,15987
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,14.321678321678322,165.0,1,0,99.97222222222223,100.0,0,0,1,0,29.447552447552447,2.1888111888111887,0,275.94531859375087,96.48437713068212,10.054681406249149,256,8627,8841
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,14.321678321678322,175.0,0,0,99.97222222222223,99.1768683832842,0,0,1,0,17.09090909090909,17.944055944055943,0,284.50479979088107,99.4772027240843,1.4952002091189103,12260,7511,15161
143.0,exploratory-overclock,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,14.321678321678322,180.0,0,0,99.97222222222223,96.43373333333334,0,0,1,0,17.825174825174827,17.3986013986014,0,284.52603979385174,99.48462929854955,1.4739602061482806,53750,7479,15478
