frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,101.0,1,0,100.0,100.0,1,0,0,0,2.25,2701.983333333333,0,211.97592,88.3233,28.02408,0,6726,8984
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,101.0,0,1,100.0,100.0,0,1,0,0,-1.6333333333333333,2700.016666666667,0,211.97592,88.3233,28.02408,0,399,11971
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,101.0,0,1215,99.89637586805556,99.94843560272128,0,0,0,1215,-96.16666666666667,2722.4583333333335,0,211.80871047822382,88.25362936592659,28.191289521776195,1389,320,115484
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,101.0,1,0,99.8955078125,99.94843560272128,0,0,1,0,7.5,2722.4583333333335,0,211.80828,88.25345,28.19172,1397,2324,20018
