frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,102.0,1,0,100.0,100.0,1,0,0,0,1.75,2699.9583333333335,0,212.976,88.74,27.024,0,6852,9370
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,102.0,1,0,100.0,100.0,1,0,0,0,3.6083333333333334,2699.9583333333335,0,212.976,88.74,27.024,0,399,11462
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,102.0,0,1090,99.89637586805556,99.93223529411765,0,0,0,1090,-129.84166666666667,2722.4583333333335,0,212.79174802062994,88.66322834192914,27.20825197937005,1531,322,100346
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,102.0,1,0,99.8955078125,99.93223529411765,0,0,1,0,6.075,2722.4583333333335,0,212.79132,88.66305,27.20868,1539,2298,19643
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,104.0,0,3226,100.0,100.0,0,1,0,0,-35.983333333333334,2699.9583333333335,0,214.97592,89.5733,25.02408,0,7096,10013
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,104.0,0,2,100.0,100.0,0,1,0,0,-2.3,2699.9583333333335,0,214.97592,89.5733,25.02408,0,399,12409
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,104.0,0,1357,99.8720703125,99.96007689236684,0,0,0,1357,-84.95833333333333,2724.425,0,214.7927052072948,89.4969605030395,25.207294792705206,1525,318,114199
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,104.0,1,0,99.8720703125,99.96007689236684,0,0,1,0,5.141666666666667,2724.4083333333333,0,214.7925978111033,89.49691575462637,25.207402188896715,1525,2264,20536
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,106.0,0,3539,100.0,100.0,0,1,0,0,-246.20833333333334,2699.9583333333335,0,216.97596,90.40665,23.02404,0,7286,9861
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,106.0,1,0,100.0,100.0,1,0,0,0,1.4833333333333334,2699.9583333333335,0,216.97596,90.40665,23.02404,0,399,12321
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,106.0,0,1646,99.8955078125,99.9387546938697,0,0,0,1646,-140.05,2722.508333333333,0,216.79493801265497,90.33122417193957,23.205061987345033,1504,314,129593
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,106.0,0,157,99.87152777777777,99.96026413594873,0,0,0,157,-27.091666666666665,2722.491666666667,0,216.79176,90.3299,23.20824,1535,2027,49120
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,108.0,0,3557,100.0,100.0,0,1,0,0,-470.1333333333333,2700.725,0,218.976,91.24,21.024,0,7534,10037
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,108.0,0,287,100.0,100.0,0,1,0,0,-30.95,2700.008333333333,0,218.976,91.24,21.024,0,399,39861
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,108.0,0,1659,99.8955078125,99.94222222222223,0,0,0,1659,-106.475,2722.508333333333,0,218.79749300626747,91.16562208594479,21.202506993732516,1483,324,133498
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,34.13333333333333,108.0,0,151,99.84917534722223,99.98222222222222,0,0,0,151,-17.891666666666666,2722.491666666667,0,218.79,91.1625,21.21,1550,2030,47350
