frequency_mhz,mapping,format,active_fraction,video_fifo_words,low_watermark_words,high_watermark_words,deadline_guard_cycles,background_offered_mb_s,all_modes_directions_safe,minimum_video_slack_us,maximum_video_wait_us,minimum_background_service_pct,maximum_dq_turnarounds
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,62.0,1,1.92,2722.46,99.94541928441198,4564
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,64.0,1,1.75,2722.46,99.93906246191403,4790
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,66.0,0,-178.82,2722.46,99.93890909090909,4998
100.0,stripe-1k-bank-chip,720p16,0.8378181818181818,2048,512,1536,4096,68.0,0,-399.14,2722.46,99.93611757190303,5206
