frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,scheduler,low_watermark_words,high_watermark_words,video_fifo_words,active_fraction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,65.0,0,3439,100.0,100.0,0,1,0,0,-73.76,2694.41,0,175.97599039039616,87.98799519519808,24.024009609603844,0,4894,8616
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,65.0,1,0,100.0,100.0,1,0,0,0,2.52,2693.15,0,175.97599039039616,87.98799519519808,24.024009609603844,0,399,23483
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,read,watermark,512,1536,2048,0.8378181818181818,4096,40.96,65.0,1,0,99.87120225694444,99.96123072151474,0,0,1,0,6.37,2722.46,0,175.80792838414322,87.90396419207161,24.19207161585677,1397,336,20038
100.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,watermark,512,1536,2048,0.8378181818181818,4096,40.96,65.0,1,0,99.87044270833333,99.96123072151474,0,0,1,0,6.42,2722.46,0,175.80751032300412,87.90375516150206,24.19248967699587,1404,2412,24810
