frequency_mhz,qualification,mapping,refill_grant_words,duration_us,deadline_misses,incomplete_frames,minimum_read_deadline_slack_us,dq_util_pct,effective_mb_s,writer_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,unserved_words,dq_turnarounds,activates,command_util_pct
120,board-acceptance,stripe-1k-chip-bank,32,1000.0,0,0,31.558333333333334,92.29333333333334,221.504,34.208333333333336,34.208333333333336,0.925,32,3178,591,12.734166666666667
120,board-acceptance,stripe-1k-chip-bank,512,1000.0,0,0,27.508333333333333,91.89333333333333,220.544,30.091666666666665,30.091666666666665,0.925,512,212,460,12.466666666666667
130,board-acceptance,chip-row-bank-column,16,1000.0,0,0,35.97692307692308,85.20615384615385,221.536,32.56153846153846,32.56153846153846,0.8538461538461538,16,6592,401,11.463846153846154
130,board-acceptance,chip-row-bank-column,32,1000.0,0,0,35.97692307692308,85.19384615384615,221.504,30.515384615384615,30.515384615384615,0.8538461538461538,32,3334,390,11.445384615384615
130,board-acceptance,chip-row-bank-column,64,1000.0,0,0,35.676923076923075,85.16923076923077,221.44,29.7,29.7,0.8538461538461538,64,1672,386,11.436153846153847
130,board-acceptance,chip-row-bank-column,128,1000.0,0,0,34.44615384615385,85.12,221.312,28.96153846153846,28.96153846153846,0.8538461538461538,128,840,373,11.41
130,board-acceptance,linear,8,1000.0,0,0,36.66153846153846,84.74384615384615,220.334,48.176923076923075,48.176923076923075,1.823076923076923,617,13567,374,11.363846153846154
130,board-acceptance,linear,16,1000.0,0,0,36.50769230769231,85.20615384615385,221.536,32.84615384615385,32.84615384615385,1.4076923076923078,16,6602,367,11.411538461538461
130,board-acceptance,linear,32,1000.0,0,0,36.238461538461536,85.19384615384615,221.504,30.56923076923077,30.56923076923077,1.123076923076923,32,3328,368,11.411538461538461
130,board-acceptance,linear,64,1000.0,0,0,35.684615384615384,85.16923076923077,221.44,29.8,29.8,0.8538461538461538,64,1664,368,11.40846153846154
130,board-acceptance,linear,128,1000.0,0,0,34.52307692307692,85.12,221.312,29.06923076923077,29.06923076923077,0.8538461538461538,128,832,358,11.386923076923077
130,board-acceptance,linear,256,1000.0,0,0,32.207692307692305,85.02153846153846,221.056,27.907692307692308,27.907692307692308,0.8538461538461538,256,416,352,11.366153846153846
130,board-acceptance,linear,512,1000.0,0,0,27.576923076923077,84.82461538461538,220.544,25.123076923076923,25.123076923076923,0.8538461538461538,512,208,332,11.31076923076923
130,board-acceptance,linear,1024,1000.0,0,0,18.346153846153847,84.43076923076923,219.52,22.70769230769231,22.70769230769231,0.8538461538461538,1024,116,299,11.21076923076923
130,board-acceptance,row-bank-chip-column,8,1000.0,0,0,27.93076923076923,85.21230769230769,221.552,30.20769230769231,30.20769230769231,0.8538461538461538,8,12110,497,11.612307692307692
