frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,10.246153846153845,17.976923076923075,0,249.21607668186974,95.85233718533452,10.783923318130253,0,399,6635
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,2.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,19.869230769230768,0,251.21599729722993,96.62153742201151,8.784002702770062,0,557,6876
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,4.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,19.869230769230768,0,253.21603791262706,97.39078381254886,6.78396208737295,0,711,7122
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,read,2048,15.753846153846155,6.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,19.869230769230768,0,255.21607852802416,98.16003020308622,4.783921471975837,0,871,7444
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,10.246153846153845,17.976923076923075,0,249.21607668186974,95.85233718533452,10.783923318130253,0,399,6635
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,2.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,19.415384615384614,0,251.21599729722993,96.62153742201151,8.784002702770062,0,399,6864
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,4.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,19.415384615384614,0,253.21603791262706,97.39078381254886,6.78396208737295,0,399,7110
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,6.0,1,0,100.0,100.0,1,0,0,0,10.246153846153845,19.415384615384614,0,255.21607852802416,98.16003020308622,4.783921471975837,0,399,7427
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,0.0,1,0,99.9871238425926,100,0,0,1,0,14.061538461538461,0.3153846153846154,0,249.18403667201127,95.84001410461973,10.815963327988717,267,336,6538
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,2.0,1,0,99.9871238425926,100.0,0,0,1,0,12.207692307692307,2.223076923076923,0,251.18395728737147,96.60921434129672,8.816042712628526,267,336,6794
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,4.0,1,0,99.9867862654321,100.0,0,0,1,0,6.592307692307692,2.223076923076923,0,253.18315790251012,97.37813765481158,6.816842097489876,274,336,7047
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,read,2048,15.753846153846155,6.0,1,0,99.98673804012346,100.0,0,0,1,0,11.984615384615385,2.4846153846153847,0,255.18260741137323,98.147156696682,4.817392588626786,275,336,7344
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.9871238425926,100,0,0,1,0,14.061538461538461,0.3153846153846154,0,249.18403667201127,95.84001410461973,10.815963327988717,267,336,6538
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,2.0,1,0,99.9871238425926,100.0,0,0,1,0,12.223076923076922,2.207692307692308,0,251.18395728737147,96.60921434129672,8.816042712628526,267,1118,6888
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,4.0,1,0,99.9871238425926,100.0,0,0,1,0,6.546153846153846,2.207692307692308,0,253.1839979027686,97.37846073183407,6.816002097231414,267,2122,7202
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,6.0,1,0,99.9871238425926,100.0,0,0,1,0,11.961538461538462,2.5076923076923077,0,255.18368518680057,98.14757122569253,4.8163148131994316,267,2928,7575
